	0
NAT2	2.833743018611397
ADA	2.8471928066714915
CDH2	-0.9196257374443328
AKT3	4.656516460855284
MED6	-4.406494312559083
NAALAD2	1.7199421916895854
NAALADL1	2.1785496238879083
ACOT8	1.5171529815398217
ABI1	-1.8689773345016594
GNPDA1	1.565529253824237
ZBTB33	3.147349525834912
GS1-600G8.3	3.4049563185793703
CDH3	1.7062683051376462
TANK	2.081633857444445
EGOT	2.5107532577842067
ACVR2B-AS1	1.964685095384297
SMIM27	2.5643807289441742
C1orf68	1.7360845377711
DPY19L1P1	1.9543272339398294
ZNF37BP	-0.06033218989165276
HDAC6	-0.3329904473277313
LOC100130331	3.763410199031371
SYCE1L	2.7558117642842572
ARMCX4	4.396283585236006
CADM3-AS1	4.699154815374026
CLUHP3	0.37211569652543847
NBPF10	0.8516545769595469
KRTAP4-7	3.2735365221026704
FAM66D	3.4813437395168108
NDUFB2-AS1	0.8920147460154506
JMJD7	1.2429235521853537
HDAC5	3.5029725838675176
PDCD6IP	-2.276099769019462
PDCD6	-0.11978465224800351
BCL2L10	1.1942992838547726
BCL2L11	0.8511217867834943
SH2B3	4.195510067836424
CDH4	1.964728054531151
GNE	-1.3398983564442632
HCN4	4.6926410618119805
INSL5	2.632894774216695
FRAT1	0.07513295274201473
TROAP	-1.9345360441438328
MED16	-0.3713643328403683
PIGK	3.9059545971018337
LINC00894	5.035553249066264
TIMM23	-2.168969895590192
ERVMER34-1	0.26466651257380197
ZNF783	-1.1007710574797873
CDH5	4.419201199071228
CHAF1A	0.83087561051477
PARP2	-8.394977021133936
PARP3	2.1803198152606686
CDH6	2.9445513462915223
TOM1L1	0.8348917064565645
HMGXB4	-2.5658948637004606
TOM1	-1.9543979835783387
SH2D3C	2.3540983415030596
SH2D3A	1.6218609523278558
MAMLD1	-0.3865827545602111
CST8	4.821495602784058
RANBP9	2.960728090117302
DNAJB6	1.492276720222152
THAP9-AS1	-0.5977964801015088
CDH7	3.6065808237469903
SLC17A4	3.7490574845925497
TMEM147-AS1	0.7474744190443439
LOC100507424	1.6381847705449124
MICA	-1.1787732312107742
SMC4	-5.869001779120806
GJC1	6.572108916828964
AP1M2	-1.9503431030962877
UBA2	0.3412886384654376
SAE1	0.21269021227764398
ABCC5	1.6178408910894164
ABCB6	-0.7024250053284091
DNM1L	0.4777414756933244
CDH8	3.5988226954107247
ABCC9	3.3827976889803897
ABCF2	0.27486142303090527
NR1H3	0.22120466546317802
COX17	-0.4805731140171722
SCAMP2	-0.7496876333725276
SCAMP3	-4.555591949405591
IL18BP	3.4945373619907
RWDD2B	-0.29654987182257064
CDH9	2.9152356338563816
DPP3	1.0973526789281538
SNUPN	-4.257965227890355
HUWE1	-1.5216631906178417
PTPRU	1.0907269406592262
TSPAN32	0.5455248785191293
TSSC4	0.7093946517416958
ATP9A	-3.5029216807761983
CDH10	3.508304887495659
USH1C	1.6089395294178963
PQBP1	-1.4426457745598584
EDIL3	2.9452995022943673
HHLA1	4.438967086164092
COL4A3BP	2.8927621284388665
KCNK7	0.14835598138877815
CDH11	3.344279886013515
UST	1.152840380486118
ARPC5	-0.753346589651147
ARPC4	-2.259156645908267
ARPC3	0.12440934415129493
ARPC1B	0.9380135739983969
ACTR3	3.062354573661415
ACTR2	2.7209955980105387
TSPAN5	1.4649763691224407
TSPAN3	0.9462646720922544
ADAM8	-0.30989142277331716
CDH12	3.223957935327009
TSPAN2	2.587908285426214
NUBP2	-0.653759918620063
TSFM	0.23428225420196153
TSPAN1	0.2224514616512828
PPIF	-1.7769212854326217
CTDSP2	0.41454686923692813
TRIM10	3.4347243508572323
ARPC2	3.861456397927692
SGK2	4.463966912325987
RAD50	0.7916267343942678
KIF20A	-7.060322585326988
PREB	-1.6071860349312717
HIPK3	2.471611530660831
FEM1B	-3.8350557887143166
CDH13	6.488976661227968
ACTR1B	-0.5672735137225191
ACTR1A	-2.486096634756098
ARL4C	5.718261194057905
ARL4A	-2.975116382603121
RASGRP1	1.9603777629283663
DNAL4	1.8401950389041901
ZNF263	-4.410467758194924
LRPPRC	-0.18125571289933046
FRY	2.0096823210662564
CDH15	1.8907952960792063
PDIA6	3.0099265171195433
TRAP1	2.6667622045544
OPTN	2.6912139837454596
BCAP31	1.4389273735281183
NAMPT	-0.672566472882328
CELA3A	5.006049417708272
YAF2	-2.2010586268830115
ARFRP1	-3.848419391319913
CDH16	3.407861595554108
TOB1	-3.708924211546207
LINC01587	3.038291427367026
AKAP9	4.298936345853047
FAM13A	0.9855965250900697
G3BP1	-1.735778413888265
SUGP2	-0.706561321748942
EBI3	-1.113106670417511
ADGRG2	0.586635136549756
CDH17	3.072646514746226
MBNL2	-3.397599484845172
HNRNPA3P1	3.941823262156716
ABI2	2.1948118116998514
CEBPZ	-5.902650646847458
PLXNC1	1.9514757019213889
TRIM28	-3.2013464766912003
RASA4	3.00385644819951
AASS	1.7880245315771186
PDZK1IP1	2.0105369100242134
ATP6AP2	0.41393500012244183
CDH18	-1.3250270192035298
FARP1	1.8629500727272001
LPAR6	3.4770113992086125
LPCAT3	0.7507910536499546
WASF2	0.9227420284328216
CHST4	3.9525981242976362
SLC25A13	-0.7201262586143167
SLC25A15	-0.06832096255855
ZNF197	3.6904251891789284
SERF2	1.6364702178280337
CDK2	2.959617860741809
DHRS9	1.759269011609911
RCL1	0.2841219302965146
SORBS3	1.3991898868873671
CNIH1	-2.2326240201416443
TENM1	1.147083818141638
RBM7	-3.2280747446096347
CDK3	3.2710576363085946
RBM6	1.438076353155736
RBM5	0.5051005328038407
LHFPL2	-1.084553319676436
LHFPL6	4.885178543834806
